Date : 2026-05-06 15:56:17
Directory : /www/wwwroot/rackroom.local.host/rackroom
Total : 319 files,  61136 codes, 2605 comments, 5639 blanks, all 69380 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /www/wwwroot/rackroom.local.host/rackroom/database/factories/UserFactory.php                                                      | PHP                |         36 |         17 |          7 |         60 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/0001_01_01_000000_create_users_table.php                            | PHP                |         38 |          6 |          6 |         50 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/0001_01_01_000001_create_cache_table.php                            | PHP                |         25 |          6 |          5 |         36 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/0001_01_01_000002_create_jobs_table.php                             | PHP                |         46 |          6 |          6 |         58 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2025_02_25_000001_add_is_active_to_users_table.php                  | PHP                |         19 |          6 |          3 |         28 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2025_02_25_000002_add_is_admin_to_users_table.php                   | PHP                |         19 |          6 |          3 |         28 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2025_08_14_170933_add_two_factor_columns_to_users_table.php         | PHP                |         25 |          6 |          4 |         35 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_03_26_054426_create_rooms_table.php                            | PHP                |         23 |          6 |          3 |         32 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_03_26_071245_create_racks_table.php                            | PHP                |         24 |          6 |          4 |         34 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_03_26_072438_create_devices_table.php                          | PHP                |         28 |          6 |          4 |         38 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_03_27_022320_remove_rack_count_from_rooms_table.php            | PHP                |         18 |         15 |          4 |         37 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_03_27_100000_create_rack_types_table.php                       | PHP                |         22 |          0 |          3 |         25 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_03_27_120000_create_device_types_and_device_library_tables.php | PHP                |         42 |          0 |          5 |         47 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_03_27_143546_add_serial_number_to_device_library_table.php     | PHP                |         18 |          7 |          4 |         29 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_04_09_094106_make_u_position_nullable_in_devices_table.php     | PHP                |         19 |          6 |          4 |         29 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_04_10_000001_create_monitor_metrics_table.php                  | PHP                |         27 |          6 |          5 |         38 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_04_10_000002_create_alerts_table.php                           | PHP                |         35 |          6 |          5 |         46 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_04_10_000003_create_report_templates_table.php                 | PHP                |         26 |          6 |          4 |         36 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_04_10_000004_create_generated_reports_table.php                | PHP                |         31 |          6 |          4 |         41 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_04_10_014338_add_connection_port_to_devices_table.php          | PHP                |         19 |          6 |          4 |         29 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_04_10_025526_add_color_to_device_types_table.php               | PHP                |         19 |          6 |          4 |         29 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_04_15_013559_create_h3c_password_change_logs_table.php         | PHP                |         28 |          6 |          5 |         39 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_04_15_054144_create_user_preferences_table.php                 | PHP                |         23 |          6 |          5 |         34 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_04_15_060725_create_system_settings_table.php                  | PHP                |         42 |         15 |          6 |         63 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_04_15_070000_create_detection_logs_table.php                   | PHP                |         32 |          6 |          5 |         43 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_04_16_000000_add_registration_setting.php                      | PHP                |         23 |          7 |          4 |         34 |
| /www/wwwroot/rackroom.local.host/rackroom/database/migrations/2026_04_22_173223_add_rack_type_id_to_racks_table.php               | PHP                |         20 |          6 |          4 |         30 |
| /www/wwwroot/rackroom.local.host/rackroom/database/seeders/DatabaseSeeder.php                                                     | PHP                |         14 |          5 |          5 |         24 |
| /www/wwwroot/rackroom.local.host/rackroom/deepseek_html_20260324_4f67b1.html                                                      | HTML               |        694 |          6 |         21 |        721 |
| /www/wwwroot/rackroom.local.host/rackroom/eslint.config.js                                                                        | JavaScript         |         69 |          1 |          2 |         72 |
| /www/wwwroot/rackroom.local.host/rackroom/lang/en.json                                                                            | JSON               |         20 |          0 |          1 |         21 |
| /www/wwwroot/rackroom.local.host/rackroom/lang/en/auth.php                                                                        | PHP                |          5 |          0 |          2 |          7 |
| /www/wwwroot/rackroom.local.host/rackroom/lang/en/navigation.php                                                                  | PHP                |         21 |          0 |          2 |         23 |
| /www/wwwroot/rackroom.local.host/rackroom/lang/en/ssh.php                                                                         | PHP                |         10 |          8 |          2 |         20 |
| /www/wwwroot/rackroom.local.host/rackroom/lang/en/userManagement.php                                                              | PHP                |          4 |          0 |          2 |          6 |
| /www/wwwroot/rackroom.local.host/rackroom/lang/en/validation.php                                                                  | PHP                |         15 |          0 |          2 |         17 |
| /www/wwwroot/rackroom.local.host/rackroom/lang/zh.json                                                                            | JSON               |         20 |          0 |          1 |         21 |
| /www/wwwroot/rackroom.local.host/rackroom/lang/zh/auth.php                                                                        | PHP                |          5 |          0 |          2 |          7 |
| /www/wwwroot/rackroom.local.host/rackroom/lang/zh/navigation.php                                                                  | PHP                |         21 |          0 |          2 |         23 |
| /www/wwwroot/rackroom.local.host/rackroom/lang/zh/ssh.php                                                                         | PHP                |         10 |          8 |          1 |         19 |
| /www/wwwroot/rackroom.local.host/rackroom/lang/zh/userManagement.php                                                              | PHP                |          4 |          8 |          2 |         14 |
| /www/wwwroot/rackroom.local.host/rackroom/lang/zh/validation.php                                                                  | PHP                |         15 |          0 |          2 |         17 |
| /www/wwwroot/rackroom.local.host/rackroom/opencode.json                                                                           | JSON               |         14 |          0 |          0 |         14 |
| /www/wwwroot/rackroom.local.host/rackroom/package-lock.json                                                                       | JSON               |      9,872 |          0 |          1 |      9,873 |
| /www/wwwroot/rackroom.local.host/rackroom/package.json                                                                            | JSON               |         87 |          0 |          1 |         88 |
| /www/wwwroot/rackroom.local.host/rackroom/phpunit.xml                                                                             | XML                |         35 |          0 |          1 |         36 |
| /www/wwwroot/rackroom.local.host/rackroom/pint.json                                                                               | JSON               |          3 |          0 |          1 |          4 |
| /www/wwwroot/rackroom.local.host/rackroom/public/.user.ini                                                                        | Ini                |          1 |          0 |          0 |          1 |
| /www/wwwroot/rackroom.local.host/rackroom/public/favicon.svg                                                                      | XML                |          3 |          0 |          1 |          4 |
| /www/wwwroot/rackroom.local.host/rackroom/public/index.php                                                                        | PHP                |         10 |          4 |          7 |         21 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/css/app.css                                                                   | PostCSS            |        123 |          0 |         21 |        144 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/app.tsx                                                                    | TypeScript JSX     |         38 |          3 |          6 |         47 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/alert-error.tsx                                                 | TypeScript JSX     |         23 |          0 |          2 |         25 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/app-content.tsx                                                 | TypeScript JSX     |         18 |          0 |          4 |         22 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/app-header.tsx                                                  | TypeScript JSX     |        231 |          2 |         10 |        243 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/app-logo-icon.tsx                                               | TypeScript JSX     |         12 |          0 |          2 |         14 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/app-logo.tsx                                                    | TypeScript JSX     |         15 |          0 |          2 |         17 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/app-shell.tsx                                                   | TypeScript JSX     |         17 |          0 |          5 |         22 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/app-sidebar-header.tsx                                          | TypeScript JSX     |         31 |          0 |          3 |         34 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/app-sidebar.tsx                                                 | TypeScript JSX     |        160 |          0 |          6 |        166 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/appearance-tabs.tsx                                             | TypeScript JSX     |         50 |          0 |          4 |         54 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/breadcrumbs.tsx                                                 | TypeScript JSX     |         48 |          0 |          2 |         50 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/delete-user.tsx                                                 | TypeScript JSX     |        116 |          0 |          9 |        125 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/heading.tsx                                                     | TypeScript JSX     |         26 |          0 |          1 |         27 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/input-error.tsx                                                 | TypeScript JSX     |         16 |          0 |          2 |         18 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/language-toggle.tsx                                             | TypeScript JSX     |         39 |          0 |          4 |         43 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/nav-footer.tsx                                                  | TypeScript JSX     |         48 |          0 |          1 |         49 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/nav-main.tsx                                                    | TypeScript JSX     |         99 |          0 |          7 |        106 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/nav-user.tsx                                                    | TypeScript JSX     |         53 |          0 |          3 |         56 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/text-link.tsx                                                   | TypeScript JSX     |         21 |          0 |          3 |         24 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/two-factor-recovery-codes.tsx                                   | TypeScript JSX     |        154 |          0 |         11 |        165 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/two-factor-setup-modal.tsx                                      | TypeScript JSX     |        325 |          0 |         24 |        349 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/alert-dialog.tsx                                             | TypeScript JSX     |        126 |          0 |         14 |        140 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/alert.tsx                                                    | TypeScript JSX     |         60 |          0 |          7 |         67 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/avatar.tsx                                                   | TypeScript JSX     |         46 |          0 |          6 |         52 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/badge.tsx                                                    | TypeScript JSX     |         41 |          0 |          6 |         47 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/breadcrumb.tsx                                               | TypeScript JSX     |         99 |          0 |         11 |        110 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/button.tsx                                                   | TypeScript JSX     |         53 |          0 |          6 |         59 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/card.tsx                                                     | TypeScript JSX     |         60 |          0 |          9 |         69 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/checkbox.tsx                                                 | TypeScript JSX     |         27 |          0 |          4 |         31 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/collapsible.tsx                                              | TypeScript JSX     |         27 |          0 |          5 |         32 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/dialog.tsx                                                   | TypeScript JSX     |        121 |          0 |         13 |        134 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/dropdown-menu.tsx                                            | TypeScript JSX     |        238 |          0 |         18 |        256 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/icon.tsx                                                     | TypeScript JSX     |         11 |          0 |          4 |         15 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/input-otp.tsx                                                | TypeScript JSX     |         62 |          0 |          8 |         70 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/input.tsx                                                    | TypeScript JSX     |         18 |          0 |          4 |         22 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/label.tsx                                                    | TypeScript JSX     |         19 |          0 |          4 |         23 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/navigation-menu.tsx                                          | TypeScript JSX     |        157 |          0 |         12 |        169 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/placeholder-pattern.tsx                                      | TypeScript JSX     |         17 |          0 |          4 |         21 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/progress.tsx                                                 | TypeScript JSX     |         23 |          0 |          4 |         27 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/radio-group.tsx                                              | TypeScript JSX     |         38 |          0 |          5 |         43 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/scroll-area.tsx                                              | TypeScript JSX     |         52 |          0 |          5 |         57 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/select.tsx                                                   | TypeScript JSX     |        167 |          0 |         13 |        180 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/separator.tsx                                                | TypeScript JSX     |         23 |          0 |          4 |         27 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/sheet.tsx                                                    | TypeScript JSX     |        125 |          0 |         13 |        138 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/sidebar.tsx                                                  | TypeScript JSX     |        655 |         13 |         55 |        723 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/skeleton.tsx                                                 | TypeScript JSX     |         11 |          0 |          3 |         14 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/spinner.tsx                                                  | TypeScript JSX     |         13 |          0 |          4 |         17 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/switch.tsx                                                   | TypeScript JSX     |         24 |          0 |          4 |         28 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/table.tsx                                                    | TypeScript JSX     |        107 |          0 |         10 |        117 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/tabs.tsx                                                     | TypeScript JSX     |         58 |          0 |          7 |         65 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/textarea.tsx                                                 | TypeScript JSX     |         19 |          0 |          3 |         22 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/toast.tsx                                                    | TypeScript JSX     |         96 |          0 |         17 |        113 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/toggle-group.tsx                                             | TypeScript JSX     |         65 |          0 |          7 |         72 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/toggle.tsx                                                   | TypeScript JSX     |         41 |          0 |          5 |         46 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/ui/tooltip.tsx                                                  | TypeScript JSX     |         53 |          0 |          7 |         60 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/user-info.tsx                                                   | TypeScript JSX     |         30 |          0 |          3 |         33 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/components/user-menu-content.tsx                                           | TypeScript JSX     |         61 |          0 |          5 |         66 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/hooks/use-appearance.tsx                                                   | TypeScript JSX     |         74 |          3 |         30 |        107 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/hooks/use-clipboard.ts                                                     | TypeScript         |         23 |          1 |          9 |         33 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/hooks/use-current-url.ts                                                   | TypeScript         |         49 |          0 |         10 |         59 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/hooks/use-initials.tsx                                                     | TypeScript JSX     |         12 |          0 |          6 |         18 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/hooks/use-locale.tsx                                                       | TypeScript JSX     |         58 |          1 |         21 |         80 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/hooks/use-mobile-navigation.ts                                             | TypeScript         |          7 |          1 |          3 |         11 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/hooks/use-mobile.tsx                                                       | TypeScript JSX     |         28 |          0 |          9 |         37 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/hooks/use-toast.ts                                                         | TypeScript         |          2 |          0 |          1 |          3 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/hooks/use-two-factor-auth.ts                                               | TypeScript         |         96 |          0 |         15 |        111 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/i18n.ts                                                                    | TypeScript         |         34 |          8 |          7 |         49 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/layouts/app-layout.tsx                                                     | TypeScript JSX     |          7 |          0 |          2 |          9 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/layouts/app/app-header-layout.tsx                                          | TypeScript JSX     |         15 |          0 |          2 |         17 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/layouts/app/app-sidebar-layout.tsx                                         | TypeScript JSX     |         19 |          0 |          2 |         21 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/layouts/auth-layout.tsx                                                    | TypeScript JSX     |         17 |          0 |          2 |         19 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/layouts/auth/auth-card-layout.tsx                                          | TypeScript JSX     |         46 |          0 |          3 |         49 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/layouts/auth/auth-simple-layout.tsx                                        | TypeScript JSX     |         36 |          0 |          3 |         39 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/layouts/auth/auth-split-layout.tsx                                         | TypeScript JSX     |         42 |          0 |          3 |         45 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/layouts/settings/layout.tsx                                                | TypeScript JSX     |         84 |          1 |          7 |         92 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/lib/deviceTypeIcons.tsx                                                    | TypeScript JSX     |         28 |         15 |          4 |         47 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/lib/utils.ts                                                               | TypeScript         |          9 |          0 |          3 |         12 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/locales/en.json                                                            | JSON               |      1,015 |          0 |          2 |      1,017 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/locales/zh.json                                                            | JSON               |      1,071 |          0 |          1 |      1,072 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/Alert/Index.tsx                                                      | TypeScript JSX     |        620 |          8 |         27 |        655 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/Backup/Index.tsx                                                     | TypeScript JSX     |        700 |         28 |         63 |        791 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/Device/Index.tsx                                                     | TypeScript JSX     |      1,298 |         14 |         80 |      1,392 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/DeviceLibrary/Index.tsx                                              | TypeScript JSX     |        937 |          5 |         42 |        984 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/DeviceType/Index.tsx                                                 | TypeScript JSX     |        691 |          1 |         34 |        726 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/Monitor/Index.tsx                                                    | TypeScript JSX     |        383 |          8 |         23 |        414 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/Rack/Index.tsx                                                       | TypeScript JSX     |      1,313 |          9 |         59 |      1,381 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/Rack/VisualEdit.tsx                                                  | TypeScript JSX     |      3,586 |        141 |        228 |      3,955 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/RackType/Index.tsx                                                   | TypeScript JSX     |        805 |          1 |         33 |        839 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/Report/Index.tsx                                                     | TypeScript JSX     |        676 |         15 |         41 |        732 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/Room/Index.tsx                                                       | TypeScript JSX     |        892 |          1 |         37 |        930 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/Settings/System.tsx                                                  | TypeScript JSX     |        634 |         30 |         47 |        711 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/Tools/H3cPassword.tsx                                                | TypeScript JSX     |        731 |         21 |         42 |        794 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/Tools/WebSocketSshTerminal.tsx                                       | TypeScript JSX     |        667 |         44 |         84 |        795 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/User/Create.tsx                                                      | TypeScript JSX     |        135 |          0 |          5 |        140 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/User/Edit.tsx                                                        | TypeScript JSX     |        145 |          0 |          7 |        152 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/User/Index.tsx                                                       | TypeScript JSX     |        753 |         13 |         35 |        801 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/auth/confirm-password.tsx                                            | TypeScript JSX     |         50 |          0 |          6 |         56 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/auth/forgot-password.tsx                                             | TypeScript JSX     |         69 |          1 |          7 |         77 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/auth/login.tsx                                                       | TypeScript JSX     |        133 |          0 |         10 |        143 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/auth/register.tsx                                                    | TypeScript JSX     |        124 |          0 |          7 |        131 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/auth/reset-password.tsx                                              | TypeScript JSX     |         97 |          0 |          7 |        104 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/auth/two-factor-challenge.tsx                                        | TypeScript JSX     |        123 |          0 |          9 |        132 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/auth/verify-email.tsx                                                | TypeScript JSX     |         39 |          1 |          5 |         45 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/dashboard.tsx                                                        | TypeScript JSX     |        525 |         20 |         33 |        578 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/settings/appearance.tsx                                              | TypeScript JSX     |         47 |          0 |          6 |         53 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/settings/password.tsx                                                | TypeScript JSX     |        139 |          0 |         18 |        157 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/settings/profile.tsx                                                 | TypeScript JSX     |        146 |          0 |         17 |        163 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/settings/two-factor.tsx                                              | TypeScript JSX     |        136 |          0 |         11 |        147 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/pages/welcome.tsx                                                          | TypeScript JSX     |        755 |          0 |          3 |        758 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/ssr.tsx                                                                    | TypeScript JSX     |         20 |          0 |          3 |         23 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/types/auth.ts                                                              | TypeScript         |         21 |          0 |          4 |         25 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/types/index.ts                                                             | TypeScript         |         10 |          0 |          3 |         13 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/types/navigation.ts                                                        | TypeScript         |         13 |          0 |          3 |         16 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/types/ui.ts                                                                | TypeScript         |         12 |          0 |          3 |         15 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/js/types/vite-env.d.ts                                                        | TypeScript         |          0 |          1 |          1 |          2 |
| /www/wwwroot/rackroom.local.host/rackroom/resources/views/app.blade.php                                                           | PHP                |         42 |          0 |         11 |         53 |
| /www/wwwroot/rackroom.local.host/rackroom/routes/api.php                                                                          | PHP                |         30 |         14 |          7 |         51 |
| /www/wwwroot/rackroom.local.host/rackroom/routes/channels.php                                                                     | PHP                |          5 |          0 |          3 |          8 |
| /www/wwwroot/rackroom.local.host/rackroom/routes/console.php                                                                      | PHP                |         12 |          2 |          4 |         18 |
| /www/wwwroot/rackroom.local.host/rackroom/routes/settings.php                                                                     | PHP                |         26 |          0 |         10 |         36 |
| /www/wwwroot/rackroom.local.host/rackroom/routes/web.php                                                                          | PHP                |        123 |         32 |         24 |        179 |
| /www/wwwroot/rackroom.local.host/rackroom/scripts/setup-scheduler.sh                                                              | Shell Script       |        277 |         27 |         44 |        348 |
| /www/wwwroot/rackroom.local.host/rackroom/scripts/start-ssh-websocket.sh                                                          | Shell Script       |         20 |          4 |          7 |         31 |
| /www/wwwroot/rackroom.local.host/rackroom/scripts/stop-ssh-websocket.sh                                                           | Shell Script       |         18 |          3 |          8 |         29 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/Feature/AlertTest.php                                                             | PHP                |         74 |          0 |         19 |         93 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/Feature/Auth/AuthenticationTest.php                                               | PHP                |         62 |          0 |         23 |         85 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/Feature/Auth/EmailVerificationTest.php                                            | PHP                |         67 |          0 |         29 |         96 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/Feature/Auth/PasswordConfirmationTest.php                                         | PHP                |         15 |          0 |          8 |         23 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/Feature/Auth/PasswordResetTest.php                                                | PHP                |         51 |          0 |         23 |         74 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/Feature/Auth/RegistrationTest.php                                                 | PHP                |         15 |          0 |          5 |         20 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/Feature/Auth/TwoFactorChallengeTest.php                                           | PHP                |         35 |          0 |         11 |         46 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/Feature/Auth/VerificationNotificationTest.php                                     | PHP                |         20 |          0 |         10 |         30 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/Feature/DashboardTest.php                                                         | PHP                |         27 |          0 |          6 |         33 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/Feature/ExampleTest.php                                                           | PHP                |          5 |          0 |          3 |          8 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/Feature/H3cPasswordControllerTest.php                                             | PHP                |         64 |          0 |         17 |         81 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/Feature/MonitorTest.php                                                           | PHP                |         37 |          0 |          8 |         45 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/Feature/ReportTest.php                                                            | PHP                |         45 |          0 |         12 |         57 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/Feature/Settings/PasswordUpdateTest.php                                           | PHP                |         39 |          0 |         12 |         51 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/Feature/Settings/ProfileUpdateTest.php                                            | PHP                |         64 |          0 |         22 |         86 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/Feature/Settings/TwoFactorAuthenticationTest.php                                  | PHP                |         61 |          0 |         19 |         80 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/Pest.php                                                                          | PHP                |         10 |         31 |          7 |         48 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/TestCase.php                                                                      | PHP                |          6 |          1 |          4 |         11 |
| /www/wwwroot/rackroom.local.host/rackroom/tests/Unit/ExampleTest.php                                                              | PHP                |          4 |          0 |          2 |          6 |
| /www/wwwroot/rackroom.local.host/rackroom/tsconfig.json                                                                           | JSON with Comments |         21 |         88 |          9 |        118 |
