Date : 2026-05-06 15:56:17
Directory : /www/wwwroot/rackroom.local.host/rackroom
Total : 319 files,  61136 codes, 2605 comments, 5639 blanks, all 69380 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /www/wwwroot/rackroom.local.host/rackroom/.github/skills/tailwindcss-development/SKILL.md                                         | Skill              |         92 |          0 |         32 |        124 |
| /www/wwwroot/rackroom.local.host/rackroom/.github/skills/wayfinder-development/SKILL.md                                           | Skill              |         57 |          0 |         32 |         89 |
| /www/wwwroot/rackroom.local.host/rackroom/.github/workflows/lint.yml                                                              | YAML               |         35 |          5 |         10 |         50 |
| /www/wwwroot/rackroom.local.host/rackroom/.github/workflows/tests.yml                                                             | YAML               |         45 |          0 |         12 |         57 |
| /www/wwwroot/rackroom.local.host/rackroom/.junie/guidelines.md                                                                    | Markdown           |        184 |          0 |        107 |        291 |
| /www/wwwroot/rackroom.local.host/rackroom/.junie/mcp/mcp.json                                                                     | JSON with Comments |         11 |          0 |          0 |         11 |
| /www/wwwroot/rackroom.local.host/rackroom/.junie/skills/developing-with-fortify/SKILL.md                                          | Skill              |         84 |          0 |         32 |        116 |
| /www/wwwroot/rackroom.local.host/rackroom/.junie/skills/inertia-react-development/SKILL.md                                        | Skill              |        270 |          0 |         99 |        369 |
| /www/wwwroot/rackroom.local.host/rackroom/.junie/skills/pest-testing/SKILL.md                                                     | Skill              |         81 |          0 |         41 |        122 |
| /www/wwwroot/rackroom.local.host/rackroom/.junie/skills/tailwindcss-development/SKILL.md                                          | Skill              |         92 |          0 |         32 |        124 |
| /www/wwwroot/rackroom.local.host/rackroom/.junie/skills/wayfinder-development/SKILL.md                                            | Skill              |         57 |          0 |         32 |         89 |
| /www/wwwroot/rackroom.local.host/rackroom/.mcp.json                                                                               | JSON               |         11 |          0 |          0 |         11 |
| /www/wwwroot/rackroom.local.host/rackroom/AGENTS.md                                                                               | Markdown           |        184 |          0 |        107 |        291 |
| /www/wwwroot/rackroom.local.host/rackroom/CLAUDE.md                                                                               | Markdown           |        184 |          0 |        107 |        291 |
| /www/wwwroot/rackroom.local.host/rackroom/GEMINI.md                                                                               | Markdown           |        184 |          0 |        107 |        291 |
| /www/wwwroot/rackroom.local.host/rackroom/README.md                                                                               | Markdown           |        433 |          0 |        124 |        557 |
| /www/wwwroot/rackroom.local.host/rackroom/SSH_WEBSOCKET_README.md                                                                 | Markdown           |        198 |          0 |         64 |        262 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Actions/Fortify/CreateNewUser.php                                                   | PHP                |         33 |          6 |          8 |         47 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Actions/Fortify/ResetUserPassword.php                                               | PHP                |         19 |          5 |          6 |         30 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Concerns/PasswordValidationRules.php                                                | PHP                |         14 |         10 |          5 |         29 |
| /www/wwwroot/rackroom.local.host/rackroom/app/Concerns/ProfileValidationRules.php                                                 | PHP                |         30 |         15 |          6 |         51 |
